Communication;Nodes;Processes;Size;Communication-time;Operations-time;Total-time;
0;4;;256;0.002100;0.005399;0.007499;
0;8;;256;0.002410;0.002669;0.005079;
0;1;;512;0.005845;0.046576;0.052422;
0;2;;512;0.005786;0.023324;0.029110;
0;4;;512;0.005758;0.012397;0.018155;
0;8;;512;0.008012;0.010961;0.018973;
0;1;;1024;0.020535;0.181171;0.201706;
0;2;;1024;0.022614;0.093085;0.115698;
0;4;;1024;0.044992;0.049382;0.094373;
0;8;;1024;0.031903;0.044606;0.076509;
0;1;;2048;0.076582;0.730708;0.807290;
0;2;;2048;0.112835;0.375694;0.488529;
0;4;;2048;0.102960;0.202044;0.305003;
0;8;;2048;0.141904;0.167105;0.309010;
0;1;;4096;0.304575;2.692175;2.996750;
0;2;;4096;0.334778;1.383551;1.718329;
0;4;;4096;0.362315;0.745293;1.107608;
0;8;;4096;0.528479;0.682530;1.211010;
1;1;;256;0.001395;0.011424;0.012819;
1;2;;256;0.001612;0.006215;0.007827;
1;4;;256;0.003603;0.002943;0.006547;
1;8;;256;0.004146;0.002853;0.006999;
1;1;;512;0.009101;0.045232;0.054333;
1;2;;512;0.005723;0.023373;0.029096;
1;4;;512;0.015375;0.011904;0.027279;
1;8;;512;0.009036;0.011042;0.020078;
1;1;;1024;0.022119;0.181699;0.203818;
1;2;;1024;0.022912;0.093482;0.116394;
1;4;;1024;0.030110;0.048337;0.078447;
1;8;;1024;0.032269;0.044841;0.077110;
1;1;;2048;0.088407;0.733854;0.822261;
1;2;;2048;0.130266;0.375734;0.506000;
1;4;;2048;0.093771;0.198053;0.291824;
1;8;;2048;0.135277;0.167187;0.302464;
1;1;;4096;0.350788;2.704312;3.055100;
1;2;;4096;0.358658;1.391384;1.750043;
1;4;;4096;0.373663;0.729713;1.103376;
1;8;;4096;0.537622;0.674035;1.211658;
